country_code,country,year,nominal_gdp,real_gdp,cpi,population
AT,Austria,1995,54545.9,54545.9,69.61876916666667,7948278
AT,Austria,1996,55672.7,55672.7,70.91435833333334,7959017
AT,Austria,1997,56930.8,56930.8,71.84048416666667,7968041
AT,Austria,1998,58882.5,58882.5,72.50318833333334,7976789
AT,Austria,1999,61022.8,61022.8,72.91572416666666,7992324
AT,Austria,2000,63143.7,63143.7,74.6255,8011566
AT,Austria,2001,63923.1,63923.1,76.60307916666666,8042293
AT,Austria,2002,64870.9,64870.9,77.9898675,8081957
AT,Austria,2003,65607.1,65607.1,79.04706333333334,8121423
AT,Austria,2004,67195.2,67195.2,80.6763875,8171966
AT,Austria,2005,68826.4,68826.4,82.53124833333334,8227829
AT,Austria,2006,71204.8,71204.8,83.72097333333333,8268641
AT,Austria,2007,73836.8,73836.8,85.53650833333333,8295487
AT,Austria,2008,74843.4,74843.4,88.28732333333333,8321496
AT,Austria,2009,72179.7,72179.7,88.73433083333333,8343323
AT,Austria,2010,73415.4,73415.4,90.34355500000001,8363404
AT,Austria,2011,75637.4,75637.4,93.31277083333333,8391643
AT,Austria,2012,76200.2,76200.2,95.63222166666667,8429991
AT,Austria,2013,75945.5,75945.5,97.54501916666666,8479823
AT,Austria,2014,76619.4,76619.4,99.11140166666667,8546356
AT,Austria,2015,77583.6,77583.6,99.99999916666667,8642699
AT,Austria,2016,79272.1,79272.1,100.89158916666666,8736668
AT,Austria,2017,81173.1,81173.1,102.99141666666667,8797566
AT,Austria,2018,83113.8,83113.8,105.04959166666667,8840521
AT,Austria,2019,84525,84525,106.657775,8879920
AT,Austria,2020,79131.9,79131.9,108.13169166666667,8916864
AT,Austria,2021,83096,83096,111.12333333333333,8955797
AT,Austria,2022,87611.7,87611.7,120.62090833333333,9041851
AT,Austria,2023,87016.7,87016.7,130.04639166666666,9131761
AT,Austria,2024,86290.9,86290.9,133.86703333333332,9177982
AT,Austria,2025,NA,NA,NA,NA
BE,Belgium,1995,66565.4,66565.4,69.023005,10136811
BE,Belgium,1996,67445,67445,70.45663,10156637
BE,Belgium,1997,70003.6,70003.6,71.60377333333334,10181245
BE,Belgium,1998,71377,71377,72.28347666666667,10203008
BE,Belgium,1999,73905.7,73905.7,73.09366583333333,10226419
BE,Belgium,2000,76652.5,76652.5,74.95354583333334,10251250
BE,Belgium,2001,77495.4,77495.4,76.80433916666667,10286570
BE,Belgium,2002,78818.2,78818.2,78.06793833333333,10332785
BE,Belgium,2003,79636.3,79636.3,79.3084075,10376133
BE,Belgium,2004,82480.3,82480.3,80.97173083333334,10421137
BE,Belgium,2005,84395.2,84395.2,83.22390416666667,10478617
BE,Belgium,2006,86549.3,86549.3,84.71461583333333,10547958
BE,Belgium,2007,89731.6,89731.6,86.2590125,10625700
BE,Belgium,2008,90132.7,90132.7,90.1315625,10709973
BE,Belgium,2009,88414.3,88414.3,90.08366416666667,10796493
BE,Belgium,2010,90810.6,90810.6,92.05586333333333,10895586
BE,Belgium,2011,92564.3,92564.3,95.30735166666666,11038264
BE,Belgium,2012,92764.1,92764.1,98.01376083333334,11106932
